From,Amount,
0xae686A610DE74a02D427eaAc770ADDDb1900F3F1,73600,
0x48A5202607fCCe11DdFE377B7b8835Cc33059Ab5,73600,
0x5F8f85AC9B606b5163069D2f8F0D6D541DeC7F7a,73600,
0xc579DB7481d15a3B3B156E1CA89cD1aE8360C3AF,73600,
0xCF206Be024973F24AF17318172F36C306Ab0123C,73600,
0xCD9Caa9f6fb30aA4c09Db1DDf32fbAEDf9662D2F,479600,
0x849d9E6f62E5e5758B9B3844135FA722Eab20002,73600,
0x18672EC83ef25353a040D7203853839F3C3081fD,73600,
0x2494eAf006B89d6fd1593Fbc34016c5F9575708d,73600,
0xeEa99FA8883b25479f2CCf3320182654A3387619,73600,
0x21Ae2867658Cb92fa8f2aC931a66019b782f5c12,883800,
0xa977dA33878A09BBB94639f9745F61d6565A8929,73600,
0x1eA13d9daf04CaDC2Ab318c12E7D67FbDF05F7f0,463000,
0x9A4e43724471a994D424C2765705398062142f04,202000,
0xBC2C77d7D4742a7209503E0820De27117B843b1f,73600,
0x71A5C09a6Ea18eed030c6049C89bCAb3eE50AEe2,681800,
0x655264617F4C4F7aB3a6829E6757c3C207760dd8,73600,
0x8A19e4719F0A4b2c33D1f7F986F472Ff5AeA2DDd,370400,
0xa060b6Fa587F673Aa06E69E17AcFC72226c796d3,73600,
0xC5AdfB6f78E04F870b748B60a1ab010251484707,239800,
0xbea800D58C63491fba57a7156720410E0db103cf,73600,
0xceE3A022094ee5344E73A439Fa54e622ACd87c17,92600,
0x47A20A79Ed7a7C6d776E29ed852d3aB7f1E1021f,73600,
0xF481c5f08F51c70aaC36b295d95d0B9D2fa34012,92600,
0x851D1Bc45F20C848d4e55A9183210a749A4E2461,92600,
0xAf33Fb5bA7c9dd55B49510cEa8876b0940556c20,92600,
0x2A2b5eE4240bd0D7cc6b42248576609196536E3e,73600,
0xcda5a1f0eDB8ea2C277Cf6511Ac5ea68B10706ad,572400,
0xfDa0974560E6fBFAC772F02ef4a927f92abd3B48,73600,
0x24D074530bB9526a67369b67FCf1Fa6cf6ef6845,883200,
0xcE875919e7E3b7C258bC6E5A1F2eC9ce9AD22E8a,73600,
0x79137a43809fbF2d228951f6F9bB4dbB7F119be6,73600,
0xEf69F189E0427d77AF45cF380B9CAB1493bfBcCc,92600,
0xDC97243C42a560724C8C06d9D06EAdcdE742B1ed,166200,
0x94767A1C44D7d38f1074C2242Cc02DF3B3f3d0bd,900600,
0x3fF03F2D198ddD48e412bD26294678aE8bfbEF66,202000,
0xdcB5071dD51FfF97bF4580c9F99256D2B1f09920,202000,
0x1406Fe36493412751be094f40cb19BBBd893530d,73600,
0x326e7f71a3cfB017a756758c134b361c1bCCcE6C,239800,
0x02aEa4A179372c69c6C3Dc50Be9e718475C773F6,73600,
0x5E0C49106b06774d4c1AA2F2224e28f7b1Dd3d6E,387000,
0x7Bfdae50F68D20b2882bF85e7Ca55B4Ca00C6db3,73600,
0x150Aa1002aca5bc3b25046a2532e0b59dA2DD9D9,387000,
0x92dC8011E60c2b20336eCC084cf38509Ae6D36a9,220800,
0xe5308B10c6E0375F0F2fe54d6C5aac360c42f7E6,73600,
0x8254b1CA668388D635664124863fA1729206ac4F,496600,
0x013dB64d03614dF5fB8B3180aC2997715Dfbd1c7,73600,
0xf6CaD61ed398289B480c916A54cAc99b3575309F,73600,
0x4D00D50a6B78D2C9ed288968Ce520CF4b18eAF9a,147200,
0x3360e4e353B665B57f7c4377d9B29D0E62440C1B,1641200,
0xb14CA44890ecd02ce4F4fBcee55bb62978D2bA2b,73600,
0x19A65117C0C2A9b920979f959978d41ADD2EC4a0,92600,
0x50b47DB31d9DdA78e1F682d5B8FD3D0967BcbaE4,572400,
0xD13BFB06478E0E02dB34Eb4d17bDd40A98DE3ec2,147200,
0xf84AcB65Dc55671fB4214653285C160F98fa8db2,73600,
0xD734f1eafFA06A263C616ed947662A06D70bD75b,496400,
0x5Acad6f747D24A8dae92560C3Ab72F24aBa80c61,202000,
0x5B07C9E12b524cB0ab624c58B5A2F6799B470915,73600,
0x107aB8aC948B27c8eFC9031Ce131e1ca3De54542,73600,
0x4A41B49490bF808b426671a79e1845080ad516f8,220800,
0x31AeC567A2974048bf58936d0d7E23B4Cbb70Bd2,463000,
0x5ff3db417596723991be029d5c2726569468CE7D,73600,
0xB4649484E2E3c4f1B689f9dF327c2248b8203EB4,202000,
0xEA8046efE055cD64CBd1227cfC5F6C4CdB61C5a4,73600,
0x37556464D037536a0603FC824073D34E9893c880,92600,
0x686F79F8F6A3e6d7550a8AA5047f5Bd8C2d58C05,73600,
0x4cD3F19779d5ccd3736bcB26c92AF000FBDA9C07,332400,
0xB77cabffE9fF52519ae302DA7C32c51e3A371164,92600,
0xDaC7D6B056F9f1cA6d7A2EAd3DeBA85a0aEbbfBc,774400,
0xA78ef419bE11455f03f2d1F02a8424096eb5Cbb4,665000,
0xAD5Bff5fC69dE8aAF4d0B51c4a9B30f1eb7589dC,498600,
0xE2BC7c64d355bc2E951140c0fEDA29aDBCDD57C7,73600,
0x3D9A6cC9c838Cb4E1D2F7969F9F806465b74E5D3,166200,
0x74ab8ea182ED1aD1e04605e653b88fd97A1b2359,73600,
